"TIME","PB4","readV","Vnode"
0.1451871635,0,0.445922,0.891849
0.1453503994,0,0.445916,0.891836
0.1456768713,0,0.445903,0.891811
0.1463298151,0,0.445878,0.891761
0.1476357026,0,0.445828,0.891661
0.1502474778,0,0.445728,0.89146
0.1550199375,0,0.44557,0.891144
0.1550199475,0,0.44557,0.891144
0.1550199675,0,0.44557,0.891144
0.1550200075,0,0.44557,0.891144
0.1550200875,0,0.44557,0.891144
0.1550202474,0,0.44557,0.891144
0.1550205673,0,0.44557,0.891144
0.1550212071,0,0.44557,0.891144
0.1550224868,0,0.44557,0.891144
0.1550239375,0,0.44557,0.891144
0.1550239475,0,0.44557,0.891144
0.1550239674,0,0.44557,0.891144
0.1550240072,0,0.44557,0.891144
0.1550240869,0,0.44557,0.891144
0.1550242464,0,0.44557,0.891144
0.1550245652,0,0.44557,0.891144
0.1550252028,0,0.44557,0.891144
0.1550264781,0,0.44557,0.891144
0.1550290286,0,0.44557,0.891144
0.1550341297,0,0.445569,0.891143
0.1550443319,0,0.445569,0.891143
0.1550647363,0,0.445569,0.891141
0.155105545,0,0.445567,0.891139
0.1551871625,0,0.445565,0.891134
0.1553503975,0,0.44556,0.891125
0.1556768675,0,0.445551,0.891106
0.1563298075,0,0.445532,0.891068
0.1576356874,0,0.445494,0.890992
0.1602474473,0,0.445418,0.890839
0.1650199375,0,0.445298,0.8906
0.1650199475,0,0.445298,0.8906
0.1650199675,0,0.445298,0.8906
0.1650200075,0,0.445298,0.8906
0.1650200875,0,0.445298,0.8906
0.1650202474,0,0.445298,0.8906
0.1650205673,0,0.445298,0.8906
0.1650212071,0,0.445298,0.8906
0.1650224868,0,0.445298,0.8906
0.1650239375,0,0.445298,0.8906
0.1650239475,0,0.445298,0.8906
0.1650239674,0,0.445298,0.8906
0.1650240072,0,0.445298,0.8906
0.1650240869,0,0.445298,0.8906
0.1650242464,0,0.445298,0.8906
0.1650245652,0,0.445298,0.8906
0.1650252028,0,0.445298,0.8906
0.1650264781,0,0.445298,0.8906
0.1650290286,0,0.445298,0.890599
0.1650341297,0,0.445297,0.890599
0.1650443318,0,0.445297,0.890599
0.1650647361,0,0.445297,0.890598
0.1651055446,0,0.445296,0.890596
0.1651871616,0,0.445294,0.890592
0.1653503957,0,0.44529,0.890585
0.1656768638,0,0.445283,0.890571
0.1663298,0,0.445269,0.890542
0.1676356725,0,0.44524,0.890484
0.1702474174,0,0.445182,0.890369
0.1750199375,0,0.445091,0.890187
0.1750199475,0,0.445091,0.890187
0.1750199675,0,0.445091,0.890187
0.1750200075,0,0.445091,0.890187
0.1750200875,0,0.445091,0.890187
0.1750202474,0,0.445091,0.890187
0.1750205673,0,0.445091,0.890187
0.1750212071,0,0.445091,0.890187
0.1750224868,0,0.445091,0.890187
0.1750239375,0,0.445091,0.890187
0.1750239475,0,0.445091,0.890187
0.1750239674,0,0.445091,0.890187
0.1750240072,0,0.445091,0.890187
0.1750240869,0,0.445091,0.890187
0.1750242464,0,0.445091,0.890187
0.1750245652,0,0.445091,0.890187
0.1750252028,0,0.445091,0.890187
0.1750264781,0,0.445091,0.890187
0.1750290286,0,0.445091,0.890187
0.1750341296,0,0.445091,0.890186
0.1750443317,0,0.445091,0.890186
0.1750647358,0,0.44509,0.890185
0.1751055441,0,0.44509,0.890184
0.1751871607,0,0.445089,0.890182
0.1753503938,0,0.445086,0.890176
0.1756768601,0,0.445081,0.890166
0.1763297927,0,0.445071,0.890146
0.1776356578,0,0.44505,0.890104
0.1802473881,0,0.445009,0.890022
0.1850199375,0,0.444934,0.889872
0.1850199475,0,0.444934,0.889872
0.1850199675,0,0.444934,0.889872
0.1850200075,0,0.444934,0.889872
0.1850200875,0,0.444934,0.889872
0.1850202474,0,0.444934,0.889872
0.1850205673,0,0.444934,0.889872
0.1850212072,0,0.444934,0.889872
0.1850224868,0,0.444934,0.889873
0.1850239375,0,0.444934,0.889873
0.1850239475,0,0.444934,0.889873
0.1850239674,0,0.444934,0.889873
0.1850240072,0,0.444934,0.889873
0.1850240869,0,0.444934,0.889873
0.1850242464,0,0.444934,0.889873
0.1850245652,0,0.444934,0.889873
0.1850252028,0,0.444934,0.889873
0.185026478,0,0.444934,0.889873
0.1850290285,0,0.444934,0.889873
0.1850341296,0,0.444934,0.889873
0.1850443316,0,0.444934,0.889873
0.1850647356,0,0.444934,0.889872
0.1851055437,0,0.444933,0.889871
0.1851871598,0,0.444932,0.889869
0.185350392,0,0.44493,0.889864
0.1856768565,0,0.444925,0.889855
0.1863297855,0,0.444918,0.88984
0.1876356434,0,0.444902,0.889809
0.1902473594,0,0.444871,0.889747
0.1950199375,0,0.444815,0.889634
0.1950199475,0,0.444815,0.889634
0.1950199675,0,0.444815,0.889634
0.1950200075,0,0.444815,0.889634
0.1950200875,0,0.444815,0.889633
0.1950202474,0,0.444815,0.889633
0.1950205673,0,0.444815,0.889633
0.1950212072,0,0.444815,0.889633
0.1950224868,0,0.444815,0.889634
0.1950239375,0,0.444815,0.889634
0.1950239475,0,0.444815,0.889634
0.1950239674,0,0.444815,0.889634
0.1950240072,0,0.444815,0.889634
0.1950240869,0,0.444815,0.889634
0.1950242463,0,0.444815,0.889634
0.1950245652,0,0.444815,0.889634
0.1950252028,0,0.444815,0.889634
0.195026478,0,0.444815,0.889634
0.1950290285,0,0.444815,0.889634
0.1950341295,0,0.444815,0.889634
0.1950443315,0,0.444815,0.889634
0.1950647354,0,0.444815,0.889634
0.1951055432,0,0.444814,0.889633
0.1951871589,0,0.444813,0.889631
0.1953503903,0,0.444812,0.889628
0.195676853,0,0.444809,0.889622
0.1963297785,0,0.444803,0.88961
0.1976356294,0,0.444791,0.889586
0.2002473312,0,0.444767,0.889538
0.2050199375,0,0.444723,0.889451
0.2050199475,0,0.444723,0.889451
0.2050199675,0,0.444723,0.889451
0.2050200075,0,0.444723,0.889451
0.2050200875,0,0.444723,0.889451
0.2050202474,0,0.444723,0.889451
0.2050205673,0,0.444723,0.889451
0.2050212072,0,0.444723,0.889451
0.2050224868,0,0.444724,0.889451
0.2050239375,0,0.444724,0.889452
0.2050239475,0,0.444724,0.889452
0.2050239674,0,0.444724,0.889452
0.2050240072,0,0.444724,0.889452
0.2050240869,0,0.444724,0.889452
0.2050242463,0,0.444724,0.889452
0.2050245652,0,0.444724,0.889452
0.2050252028,0,0.444724,0.889452
0.205026478,0,0.444724,0.889452
0.2050290285,0,0.444724,0.889452
0.2050341294,0,0.444724,0.889452
0.2050443314,0,0.444724,0.889451
0.2050647352,0,0.444723,0.889451
0.2051055428,0,0.444723,0.889451
0.205187158,0,0.444722,0.889449
0.2053503885,0,0.444721,0.889447
0.2056768496,0,0.444719,0.889443
0.2063297716,0,0.444714,0.889433
0.2076356156,0,0.444705,0.889415
0.2102473036,0,0.444687,0.889378
0.2150199375,0,0.444653,0.889311
0.2150199475,0,0.444653,0.889311
0.2150199675,0,0.444653,0.889311
0.2150200075,0,0.444653,0.889311
0.2150200875,0,0.444653,0.889311
0.2150202474,0,0.444653,0.889311
0.2150205673,0,0.444653,0.889311
0.2150212072,0,0.444654,0.889311
0.2150224868,0,0.444654,0.889312
0.2150239375,0,0.444654,0.889312
0.2150239475,0,0.444654,0.889312
0.2150239674,0,0.444654,0.889312
0.2150240072,0,0.444654,0.889312
0.2150240869,0,0.444654,0.889312
0.2150242463,0,0.444654,0.889312
0.2150245652,0,0.444654,0.889312
0.2150252028,0,0.444654,0.889312
0.215026478,0,0.444654,0.889312
0.2150290285,0,0.444654,0.889312
0.2150341294,0,0.444654,0.889312
0.2150443312,0,0.444654,0.889312
0.215064735,0,0.444654,0.889312
0.2151055424,0,0.444653,0.889311
0.2151871572,0,0.444653,0.88931
0.2153503869,0,0.444652,0.889308
0.2156768462,0,0.44465,0.889304
0.2163297648,0,0.444646,0.889296
0.2176356021,0,0.444639,0.889282
0.2202472766,0,0.444625,0.889255
0.2250199375,0,0.4446,0.889204
0.2250199475,0,0.4446,0.889204
0.2250199675,0,0.4446,0.889204
0.2250200075,0,0.4446,0.889204
0.2250200875,0,0.4446,0.889204
0.2250202474,0,0.4446,0.889204
0.2250205673,0,0.4446,0.889204
0.2250212072,0,0.4446,0.889204
0.2250224869,0,0.4446,0.889204
0.2250239375,0,0.4446,0.889204
0.2250239475,0,0.4446,0.889204
0.2250239674,0,0.4446,0.889204
0.2250240072,0,0.4446,0.889204
0.2250240869,0,0.4446,0.889204
0.2250242463,0,0.4446,0.889204
0.2250245651,0,0.4446,0.889204
0.2250252028,0,0.4446,0.889204
0.225026478,0,0.4446,0.889204
0.2250290284,0,0.4446,0.889204
0.2250341293,0,0.4446,0.889204
0.2250443311,0,0.4446,0.889204
0.2250647347,0,0.4446,0.889204
0.225105542,0,0.4446,0.889204
0.2251871564,0,0.444599,0.889203
0.2253503852,0,0.444599,0.889202
0.2256768429,0,0.444597,0.889199
0.2263297582,0,0.444595,0.889194
0.2276355888,0,0.444589,0.889183
0.2302472501,0,0.444578,0.889161
0.2350199375,0,0.444558,0.889121
0.2350199475,0,0.444558,0.889121
0.2350199675,0,0.444558,0.889121
0.2350200075,0,0.444558,0.889121
0.2350200875,0,0.444558,0.889121
0.2350202474,0,0.444558,0.889121
0.2350205673,0,0.444558,0.889121
0.2350212072,0,0.444558,0.889121
0.2350224869,0,0.444558,0.889121
0.2350239375,0,0.444558,0.889121
0.2350239475,0,0.444558,0.889121
0.2350239674,0,0.444558,0.889121
0.2350240072,0,0.444558,0.889121
0.2350240869,0,0.444558,0.889121
0.2350242463,0,0.444558,0.889121
0.2350245651,0,0.444558,0.889121
0.2350252028,0,0.444558,0.889121
0.235026478,0,0.444558,0.889121
0.2350290284,0,0.444558,0.889121
0.2350341293,0,0.444558,0.889121
0.235044331,0,0.444558,0.889121
0.2350647345,0,0.444558,0.889121
0.2351055415,0,0.444558,0.889121
0.2351871556,0,0.444558,0.88912
0.2353503836,0,0.444557,0.889119
0.2356768396,0,0.444556,0.889117
0.2363297517,0,0.444554,0.889113
0.2376355758,0,0.44455,0.889104
0.2402472242,0,0.444541,0.889087
0.2450199375,0,0.444526,0.889057
0.2450199475,0,0.444526,0.889057
0.2450199675,0,0.444526,0.889057
0.2450200075,0,0.444526,0.889057
0.2450200875,0,0.444526,0.889057
0.2450202474,0,0.444526,0.889057
0.2450205673,0,0.444526,0.889057
0.2450212072,0,0.444526,0.889057
0.2450224869,0,0.444526,0.889057
0.2450239375,0,0.444526,0.889057
0.2450239475,0,0.444526,0.889057
0.2450239674,0,0.444526,0.889057
0.2450240072,0,0.444526,0.889057
0.2450240869,0,0.444526,0.889057
0.2450242463,0,0.444526,0.889057
0.2450245651,0,0.444526,0.889057
0.2450252028,0,0.444526,0.889057
0.245026478,0,0.444526,0.889057
0.2450290284,0,0.444526,0.889057
0.2450341292,0,0.444526,0.889057
0.2450443309,0,0.444526,0.889057
0.2450647343,0,0.444526,0.889057
0.2451055411,0,0.444526,0.889056
0.2451871548,0,0.444526,0.889056
0.245350382,0,0.444525,0.889055
0.2456768364,0,0.444524,0.889053
0.2463297453,0,0.444523,0.88905
0.2476355631,0,0.444519,0.889042
0.2502471987,0,0.444513,0.88903
0.2550199375,0,0.444501,0.889007
0.2550199475,0,0.444501,0.889007
0.2550199675,0,0.444501,0.889007
0.2550200075,0,0.444501,0.889007
0.2550200875,0,0.444501,0.889007
0.2550202474,0,0.444501,0.889007
0.2550205673,0,0.444501,0.889007
0.2550212072,0,0.444501,0.889007
0.2550224869,0,0.444501,0.889007
0.2550239375,0,0.444501,0.889007
0.2550239475,0,0.444501,0.889007
0.2550239674,0,0.444501,0.889007
0.2550240072,0,0.444501,0.889007
0.2550240869,0,0.444501,0.889007
0.2550242463,0,0.444501,0.889007
0.2550245651,0,0.444501,0.889007
0.2550252027,0,0.444501,0.889007
0.255026478,0,0.444501,0.889007
0.2550290284,0,0.444501,0.889007
0.2550341292,0,0.444501,0.889007
0.2550443308,0,0.444501,0.889007
0.2550647341,0,0.444501,0.889007
0.2551055408,0,0.444501,0.889006
0.255187154,0,0.444501,0.889006
0.2553503804,0,0.4445,0.889005
0.2556768333,0,0.4445,0.889004
0.2563297391,0,0.444499,0.889002
0.2576355507,0,0.444496,0.888996
0.2602471738,0,0.444491,0.888986
0.2650199375,0,0.444481,0.888967
0.2650199475,0,0.444481,0.888967
0.2650199675,0,0.444481,0.888967
0.2650200075,0,0.444481,0.888967
0.2650200875,0,0.444481,0.888967
0.2650202474,0,0.444481,0.888967
0.2650205674,0,0.444481,0.888967
0.2650212072,0,0.444481,0.888967
0.2650224869,0,0.444481,0.888967
0.2650239375,0,0.444481,0.888967
0.2650239475,0,0.444481,0.888967
0.2650239674,0,0.444481,0.888967
0.2650240072,0,0.444481,0.888967
0.2650240869,0,0.444481,0.888967
0.2650242463,0,0.444481,0.888967
0.2650245651,0,0.444481,0.888967
0.2650252027,0,0.444481,0.888967
0.2650264779,0,0.444481,0.888967
0.2650290283,0,0.444481,0.888967
0.2650341291,0,0.444481,0.888967
0.2650443307,0,0.444481,0.888967
0.265064734,0,0.444481,0.888967
0.2651055404,0,0.444481,0.888967
0.2651871532,0,0.444481,0.888967
0.2653503789,0,0.444481,0.888966
0.2656768303,0,0.44448,0.888965
0.266329733,0,0.444479,0.888963
0.2676355384,0,0.444477,0.888959
0.2702471493,0,0.444473,0.888951
0.2750199375,0,0.444466,0.888936
0.2750199475,0,0.444466,0.888936
0.2750199675,0,0.444466,0.888936
0.2750200075,0,0.444466,0.888936
0.2750200875,0,0.444466,0.888936
0.2750202474,0,0.444466,0.888936
0.2750205674,0,0.444466,0.888936
0.2750212072,0,0.444466,0.888936
0.2750224869,0,0.444466,0.888936
0.2750239375,0,0.444466,0.888936
0.2750239475,0,0.444466,0.888936
0.2750239674,0,0.444466,0.888936
0.2750240072,0,0.444466,0.888936
0.2750240869,0,0.444466,0.888936
0.2750242463,0,0.444466,0.888936
0.2750245651,0,0.444466,0.888936
0.2750252027,0,0.444466,0.888936
0.2750264779,0,0.444466,0.888937
0.2750290283,0,0.444466,0.888936
0.2750341291,0,0.444466,0.888936
0.2750443307,0,0.444466,0.888936
0.2750647338,0,0.444466,0.888936
0.27510554,0,0.444466,0.888936
0.2751871525,0,0.444466,0.888936
0.2753503774,0,0.444466,0.888936
0.2756768273,0,0.444465,0.888935
0.276329727,0,0.444464,0.888933
0.2776355265,0,0.444463,0.88893
0.2802471254,0,0.444459,0.888923
0.2850199375,0,0.444454,0.888912
0.2850199475,0,0.444454,0.888912
0.2850199675,0,0.444454,0.888912
0.2850200075,0,0.444454,0.888912
0.2850200875,0,0.444454,0.888912
0.2850202474,0,0.444454,0.888912
0.2850205674,0,0.444454,0.888912
0.2850212072,0,0.444454,0.888912
